,WorkingAges,LateTimes,KPI,Salary
0,20.0,21.0,4.37,3619.6
1,24.0,14.0,5.49,5333.7
2,22.0,14.0,3.53,3022.7
3,26.0,13.0,4.9,5079.7
4,18.0,20.0,5.75,4656.0
5,24.0,21.0,6.51,6527.3
6,23.0,15.0,5.41,5107.6
7,15.0,24.0,4.71,3110.9
8,22.0,18.0,4.76,4248.9
9,27.0,15.0,5.57,5986.4
10,17.0,8.0,4.75,3495.7
11,23.0,14.0,5.46,5178.5
12,21.0,9.0,4.54,3817.4
13,18.0,20.0,5.25,4075.0
14,19.0,3.0,5.49,4628.1
15,19.0,12.0,5.38,4381.7
16,18.0,9.0,4.1,2943.2
17,18.0,6.0,3.78,2519.7
18,26.0,9.0,5.14,5357.8
19,20.0,28.0,5.22,4386.2
20,20.0,16.0,5.32,4446.0
21,16.0,10.0,3.28,1770.7
22,14.0,14.0,4.23,2350.5
23,23.0,23.0,5.22,4855.6
24,24.0,16.0,4.9,4769.6
25,19.0,15.0,4.77,3779.7
26,25.0,18.0,3.8,3829.9
27,15.0,16.0,4.44,2684.0
28,18.0,9.0,3.45,2135.6
29,22.0,3.0,5.39,4934.6
30,23.0,11.0,4.38,4055.8
31,19.0,22.0,5.36,4421.5
32,23.0,15.0,4.8,4491.0
33,28.0,11.0,4.08,4564.6
34,34.0,10.0,5.23,6896.9
35,20.0,11.0,4.8,4034.1
36,19.0,26.0,5.27,4290.9
37,13.0,8.0,5.19,3150.5
38,18.0,15.0,4.77,3616.2
39,28.0,12.0,3.93,4495.5
40,21.0,13.0,5.11,4476.9
41,22.0,10.0,4.33,3765.6
42,20.0,14.0,5.67,4975.4
43,25.0,24.0,5.17,5281.2
44,27.0,16.0,5.21,5581.7
45,20.0,11.0,3.26,2356.1
46,19.0,12.0,5.51,4500.6
47,16.0,14.0,5.77,4384.9
48,21.0,15.0,4.67,4020.8
49,19.0,13.0,5.73,4776.2
50,17.0,20.0,3.27,1915.6
51,18.0,11.0,7.24,6160.1
52,17.0,9.0,4.96,3634.6
53,17.0,22.0,5.35,3990.6
54,17.0,21.0,5.85,4580.4
55,17.0,8.0,3.79,2321.7
56,21.0,3.0,5.57,5010.8
57,24.0,7.0,5.04,4885.5
58,17.0,22.0,5.83,4597.3
59,18.0,7.0,5.21,4038.2
60,19.0,13.0,7.26,6447.4
61,18.0,21.0,5.54,4452.7
62,15.0,19.0,4.61,2858.8
63,23.0,6.0,4.37,4004.7
64,29.0,20.0,4.75,5432.9
65,24.0,13.0,4.24,4140.2
66,23.0,22.0,4.08,3796.6
