,Experience,KPI,Status
0,18.7,10.22,Fire
1,12.0,15.11,Fire
2,10.5,21.74,Fire
3,8.1,10.7,Fire
4,23.5,18.74,Fire
5,14.0,17.39,Fire
6,19.0,13.27,Fire
7,16.1,6.06,Fire
8,15.6,19.34,Fire
9,4.1,18.9,Fire
10,18.0,20.79,Fire
11,18.0,17.21,Fire
12,8.0,13.39,Fire
13,16.7,6.04,Fire
14,9.2,21.13,Fire
15,23.6,13.42,Fire
16,13.1,12.02,Fire
17,20.1,18.54,Fire
18,13.9,11.25,Fire
19,12.9,11.3,Fire
20,8.5,13.97,Fire
21,19.6,20.67,Fire
22,15.3,23.87,Fire
23,7.3,16.39,Fire
24,16.0,17.95,Fire
25,11.1,19.96,Fire
26,10.6,19.52,Fire
27,19.8,17.12,Fire
28,12.9,15.09,Fire
29,9.2,17.56,Fire
30,13.7,14.23,Fire
31,14.8,19.32,Fire
32,13.6,16.75,Fire
33,14.3,19.48,Fire
34,8.3,11.95,Fire
35,16.7,13.13,Fire
36,14.0,19.18,Fire
37,20.7,18.98,Fire
38,16.0,16.87,Fire
39,16.0,21.82,Fire
40,12.8,22.1,Fire
41,14.3,13.19,Fire
42,10.2,5.0,Fire
43,11.2,18.88,Fire
44,19.7,22.26,Fire
45,12.0,18.44,Fire
46,15.6,14.74,Fire
47,10.5,20.2,Fire
48,17.5,20.65,Fire
49,11.8,12.49,Fire
50,16.6,14.34,Fire
51,18.3,22.7,Fire
52,7.8,17.46,Fire
53,21.0,17.24,Fire
54,27.4,13.86,Fire
55,17.0,15.21,Fire
56,9.4,13.89,Fire
57,17.4,22.72,Fire
58,10.5,20.91,Fire
59,23.7,20.8,Fire
60,11.0,11.84,Fire
61,19.6,26.68,Fire
62,15.0,21.36,Fire
63,10.0,19.88,Fire
64,13.9,13.17,Fire
65,12.0,10.15,Fire
66,15.4,17.47,Fire
67,23.1,18.51,Fire
68,17.8,19.49,Fire
69,11.4,14.36,Fire
70,20.4,17.11,Fire
71,11.9,24.88,Fire
72,13.1,15.8,Fire
73,8.5,21.47,Fire
74,13.9,14.21,Fire
75,17.6,13.86,Fire
76,13.5,16.73,Fire
77,10.7,11.78,Fire
78,18.1,17.26,Fire
79,16.4,16.18,Fire
80,17.7,11.56,Fire
81,11.6,20.63,Fire
82,13.3,14.41,Fire
83,17.5,14.47,Fire
84,11.8,19.86,Fire
85,17.6,22.49,Fire
86,10.5,12.56,Fire
87,13.9,16.57,Fire
88,16.1,27.19,Fire
89,12.0,18.34,Fire
