,SkippedLessons,AverageGrade
0,130.0,1.1
1,54.0,0.5
2,58.0,1.0
3,107.0,0.9
4,42.0,1.2
5,34.0,3.6
6,42.0,2.8
7,43.0,1.4
8,59.0,0.9
9,40.0,0.8
10,88.0,3.8
11,137.0,1.3
12,30.0,0.6
13,52.0,0.9
14,129.0,0.3
15,130.0,1.3
16,63.0,1.2
17,102.0,0.9
18,132.0,1.5
19,53.0,3.3
20,51.0,1.2
21,68.0,0.6
22,48.0,1.4
23,54.0,0.9
24,78.0,3.9
25,147.0,0.7
26,67.0,0.8
27,23.0,3.4
28,111.0,1.3
29,69.0,3.3
30,105.0,0.5
31,27.0,3.1
32,59.0,3.5
33,58.0,0.9
34,66.0,1.4
35,40.0,1.7
36,123.0,1.0
37,159.0,0.4
38,44.0,3.4
39,44.0,0.6
40,28.0,3.4
41,59.0,1.3
42,140.0,0.5
43,151.0,0.4
44,145.0,1.4
45,128.0,1.2
46,132.0,1.0
47,52.0,1.5
48,133.0,1.0
49,133.0,0.7
50,30.0,1.1
51,174.0,1.1
52,49.0,1.4
53,35.0,0.3
54,50.0,1.0
55,73.0,3.8
56,136.0,1.3
57,22.0,0.8
58,139.0,1.1
59,77.0,2.8
60,62.0,3.6
61,38.0,1.3
62,18.0,1.2
63,39.0,3.6
64,45.0,0.8
65,114.0,0.4
66,54.0,1.2
67,67.0,1.2
68,51.0,1.4
69,34.0,1.2
70,43.0,1.2
71,62.0,3.6
72,48.0,3.7
73,56.0,0.7
74,64.0,0.8
75,69.0,0.9
76,125.0,0.7
77,52.0,3.7
78,135.0,0.5
79,124.0,1.5
80,65.0,3.9
81,33.0,4.1
82,119.0,1.1
83,94.0,1.1
84,132.0,1.1
85,62.0,3.7
86,67.0,3.7
87,40.0,1.0
88,59.0,0.9
89,124.0,1.3
90,26.0,4.0
91,48.0,3.1
92,147.0,0.6
93,38.0,3.1
94,125.0,1.3
95,78.0,4.2
96,139.0,0.7
97,69.0,0.8
98,131.0,1.0
99,68.0,0.6
100,60.0,0.8
101,45.0,1.2
102,40.0,1.1
103,139.0,1.0
104,144.0,1.1
105,116.0,1.5
106,127.0,0.8
107,53.0,0.8
108,72.0,1.3
109,132.0,1.0
110,145.0,0.5
111,39.0,1.0
112,62.0,3.7
113,103.0,0.8
114,63.0,0.6
115,92.0,1.3
116,62.0,3.7
117,126.0,0.9
118,44.0,0.5
119,142.0,1.3
120,153.0,0.9
121,121.0,1.1
122,40.0,3.6
123,132.0,0.6
124,64.0,0.7
125,32.0,3.2
126,40.0,3.5
127,149.0,1.1
128,131.0,1.1
129,17.0,3.7
130,37.0,0.8
131,142.0,1.3
132,46.0,3.5
133,137.0,1.0
134,71.0,3.4
135,47.0,3.8
136,45.0,3.6
137,23.0,3.4
138,61.0,3.3
139,44.0,3.3
140,74.0,1.1
141,152.0,1.3
142,43.0,3.3
143,73.0,3.7
144,55.0,0.9
145,56.0,3.8
146,53.0,3.6
147,132.0,1.3
148,85.0,1.4
149,110.0,1.3
150,72.0,1.4
151,99.0,0.5
152,60.0,3.8
153,71.0,4.0
154,58.0,3.9
155,44.0,1.1
156,64.0,3.4
157,39.0,3.8
158,68.0,1.0
159,54.0,3.2
160,136.0,1.2
161,51.0,1.5
162,128.0,1.2
163,131.0,1.3
164,35.0,3.1
165,140.0,0.6
166,45.0,0.8
167,156.0,0.9
168,49.0,0.6
169,112.0,0.8
170,118.0,1.1
171,50.0,1.2
172,64.0,1.0
173,69.0,0.7
174,41.0,1.1
175,33.0,3.6
176,129.0,1.2
177,47.0,1.0
178,132.0,1.2
179,64.0,0.6
180,123.0,0.8
181,34.0,3.4
182,44.0,3.9
183,117.0,1.5
184,50.0,1.1
185,52.0,1.3
186,36.0,0.8
187,147.0,1.2
188,58.0,3.5
189,133.0,1.1
190,149.0,1.2
191,142.0,0.8
192,44.0,0.9
193,121.0,1.0
194,124.0,1.0
195,47.0,1.1
196,33.0,4.1
197,78.0,0.9
198,130.0,0.7
199,48.0,3.2
200,156.0,1.2
201,63.0,0.5
202,52.0,3.8
203,27.0,0.8
204,111.0,1.1
205,47.0,3.1
206,123.0,0.7
207,137.0,0.8
208,46.0,1.0
209,67.0,0.7
210,42.0,3.3
211,44.0,0.7
212,127.0,1.4
213,34.0,0.7
214,143.0,0.6
215,28.0,1.0
216,91.0,1.0
217,50.0,3.8
218,152.0,1.0
219,49.0,0.7
220,63.0,1.0
221,15.0,3.6
222,115.0,1.3
223,142.0,1.2
224,30.0,0.9
225,57.0,1.3
226,23.0,3.0
227,56.0,3.6
228,48.0,1.2
229,74.0,3.3
230,15.0,0.8
231,49.0,3.2
232,69.0,0.7
233,149.0,1.6
234,50.0,0.7
235,140.0,0.8
236,141.0,0.8
237,128.0,1.5
238,63.0,1.1
239,146.0,0.7
240,27.0,0.9
241,132.0,1.4
242,44.0,0.9
243,35.0,3.7
244,130.0,1.1
245,71.0,3.9
246,122.0,1.2
247,45.0,1.0
248,60.0,0.9
249,55.0,3.6
250,30.0,0.8
251,62.0,1.2
252,70.0,1.0
253,38.0,3.5
254,68.0,3.5
255,34.0,0.6
256,121.0,1.3
257,59.0,3.5
258,60.0,0.9
259,144.0,0.7
260,148.0,0.6
261,68.0,3.7
262,56.0,3.2
263,41.0,3.3
264,72.0,1.5
265,177.0,1.1
266,49.0,3.6
267,32.0,3.3
268,134.0,0.4
269,37.0,3.4
270,45.0,0.8
271,127.0,1.0
272,42.0,0.5
273,47.0,0.9
274,125.0,1.1
275,52.0,3.3
276,101.0,0.9
277,52.0,0.5
278,41.0,3.3
279,117.0,1.1
280,43.0,3.6
281,34.0,0.9
282,44.0,0.7
283,142.0,1.0
284,41.0,1.2
285,47.0,1.4
286,71.0,0.7
287,64.0,3.6
288,144.0,0.9
289,39.0,1.2
290,147.0,0.3
291,47.0,1.2
292,75.0,3.5
293,59.0,3.1
294,44.0,1.2
295,24.0,0.9
296,29.0,3.1
297,132.0,0.8
298,41.0,0.8
299,147.0,1.0
300,47.0,3.1
301,136.0,1.3
302,67.0,0.6
303,57.0,1.4
304,28.0,1.0
305,41.0,3.5
306,129.0,1.0
307,58.0,0.4
308,121.0,1.4
309,29.0,3.5
310,111.0,1.2
311,124.0,0.8
312,57.0,1.0
313,71.0,0.9
314,39.0,0.8
315,129.0,1.5
