,Weight,height
0,76.64,151.55
1,69.0,190.88
2,62.36,144.59
3,100.2,191.45
4,55.120000000000005,149.18
5,85.64,166.79
6,55.9,155.93
7,56.66,167.21
8,63.74,191.6
9,86.8,173.24
10,88.4,167.48
11,88.74,140.21
12,57.72,160.1
13,70.46,136.57999999999998
14,78.6,135.56
15,80.54,214.76
16,89.4,205.43
17,58.739999999999995,177.59
18,74.16,130.85
19,58.760000000000005,181.28
20,86.42,208.91
21,63.62,189.83
22,86.88,165.95
23,83.7,206.3
24,54.96,153.65
25,91.74,201.77
26,70.22,194.18
27,66.26,143.87
28,62.76,185.15
29,98.6,171.47
30,61.28,151.76
31,96.14,188.72
32,83.3,156.74
33,89.88,203.21
34,99.02,168.71
35,86.96000000000001,168.26
36,98.8,157.55
37,82.08,159.95
38,87.46000000000001,184.67
39,55.8,160.37
40,79.02,135.11
41,53.3,167.75
42,98.32,173.27
43,58.7,167.21
44,99.3,183.74
45,84.7,206.75
46,56.739999999999995,160.22
47,88.96000000000001,137.24
48,88.38,178.04
49,82.6,161.99
50,88.14,165.98
51,96.44,194.54
52,71.78,198.98
53,99.7,181.25
54,89.4,186.56
55,75.24,153.08
56,75.42,152.96
57,87.2,168.56
58,55.58,172.04
59,96.74,177.17
60,61.46,154.58
61,87.28,186.71
62,74.5,130.07
63,70.5,197.27
64,79.56,153.8
65,74.84,139.91
66,64.52,185.87
67,55.82,157.79
68,84.96000000000001,139.25
69,85.74,162.92
70,62.019999999999996,149.45
71,54.86,171.32
72,87.36,183.32
73,63.78,144.8
74,66.53999999999999,194.81
75,65.72,186.23
76,84.42,209.93
77,62.8,148.85
78,75.78,157.61
79,59.36,189.89
80,60.18,181.85
81,81.2,189.86
82,95.92,194.69
83,90.26,182.66
84,84.08,160.94
85,56.7,157.46
86,72.48,134.99
87,75.46,131.75
88,86.16,163.64
89,58.28,181.34
90,56.22,172.04
91,59.96,150.35
92,72.92,135.71
93,76.66,152.6
94,78.46,195.11
95,78.34,157.1
96,63.34,146.84
97,89.03999999999999,171.26
98,87.86,186.77
99,66.58,190.61
100,88.08,173.51
101,61.42,186.23
102,102.06,187.4
103,58.519999999999996,154.7
104,77.6,156.86
105,79.62,154.61
106,74.12,134.99
107,66.92,190.97
108,58.86,164.96
109,82.8,209.75
110,80.64,154.79
111,92.18,198.95
112,84.53999999999999,159.2
113,91.96000000000001,201.47
114,80.24,187.13
115,99.6,163.07
116,70.08,190.46
117,52.72,166.01
118,81.64,157.49
119,97.88,157.07
120,99.24,176.12
121,92.2,202.88
122,67.4,141.5
123,86.42,170.63
124,81.0,157.91
125,98.53999999999999,163.1
126,98.24,177.71
127,73.86,140.57
128,90.42,204.17000000000002
129,83.76,140.32999999999998
130,61.04,185.36
131,101.76,160.97
132,65.42,138.77
133,85.42,159.92
134,57.86,179.63
135,86.58,163.55
136,67.82,190.07
137,76.18,213.76999999999998
138,60.519999999999996,148.64
139,80.5,184.97
140,64.14,185.6
141,95.22,158.81
142,72.08,140.03
143,87.64,162.92
144,63.019999999999996,144.17000000000002
145,86.1,140.3
146,73.5,135.56
147,62.66,174.71
148,74.28,135.01999999999998
149,80.84,193.43
150,54.8,168.41
151,63.5,151.16
152,97.26,174.23
153,78.78,197.32999999999998
154,64.56,144.26
155,82.1,195.77
156,72.2,140.09
157,69.74,134.42000000000002
158,78.88,210.2
159,85.16,140.93
160,59.68,183.53
161,99.28,164.6
162,81.18,193.46
163,85.18,205.79
164,84.8,157.46
165,80.48,159.38
166,86.24,176.9
167,79.76,209.32999999999998
168,86.92,172.52
169,69.14,193.7
170,63.26,145.57999999999998
171,81.18,188.24
172,72.62,141.11
173,74.94,154.79
174,94.72,161.09
175,54.84,168.71
176,87.7,177.5
177,90.24,181.85
178,87.98,139.55
179,78.72,155.81
180,63.14,180.62
181,55.739999999999995,157.16
182,56.2,153.95
183,84.5,141.05
184,78.86,137.03
